Source,Year,Mean,Date,Month,Season,Mean_Normalized
gcag,1855-12,-0.4199,1855-12-01,12,Winter,0.24753455582399306
gcag,1856-01,-0.0756,1856-01-01,1,Winter,0.3838963919363143
gcag,1856-02,-0.3371,1856-02-01,2,Winter,0.28032793377955567
gcag,1856-03,-0.3577,1856-03-01,3,Summer,0.27216919481959684
gcag,1856-04,-0.3159,1856-04-01,4,Summer,0.28872430591310544
gcag,1856-05,-0.2851,1856-05-01,5,Summer,0.3009228088241119
gcag,1856-06,-0.2142,1856-06-01,6,Monsoon,0.3290031288367857
gcag,1856-07,-0.2247,1856-07-01,7,Monsoon,0.32484454829894255
gcag,1856-08,-0.2377,1856-08-01,8,Monsoon,0.31969582953780346
gcag,1856-09,-0.3882,1856-09-01,9,Post-Monsoon,0.260089508495386
gcag,1856-10,-0.4381,1856-10-01,10,Post-Monsoon,0.24032634955839838
gcag,1856-11,-0.5523,1856-11-01,11,Post-Monsoon,0.19509683551823834
gcag,1856-12,-0.4175,1856-12-01,12,Winter,0.24848508851835718
gcag,1857-01,-0.4948,1857-01-01,1,Winter,0.2178700146540457
gcag,1857-02,-0.4349,1857-02-01,2,Winter,0.24159372648421717
gcag,1857-03,-0.4786,1857-03-01,3,Summer,0.2242861103410036
gcag,1857-04,-0.6443,1857-04-01,4,Summer,0.15865974890094658
gcag,1857-05,-0.6587,1857-05-01,5,Summer,0.15295655273476177
gcag,1857-06,-0.3041,1857-06-01,6,Monsoon,0.29339775832706244
gcag,1857-07,-0.4114,1857-07-01,7,Monsoon,0.25090102578319934
gcag,1857-08,-0.369,1857-08-01,8,Monsoon,0.26769377005029904
gcag,1857-09,-0.3797,1857-09-01,9,Post-Monsoon,0.2634559784545923
gcag,1857-10,-0.4726,1857-10-01,10,Post-Monsoon,0.22666244207691394
gcag,1857-11,-0.6851,1857-11-01,11,Post-Monsoon,0.14250069309675628
gcag,1857-12,-0.2735,1857-12-01,12,Winter,0.30551705018020514
gcag,1858-01,-0.2955,1858-01-01,1,Winter,0.29680383381520065
gcag,1858-02,-0.4769,1858-02-01,2,Winter,0.22495940433284486
gcag,1858-03,-0.5477,1858-03-01,3,Summer,0.19691868984910293
gcag,1858-04,-0.428,1858-04-01,4,Summer,0.2443265079805141
gcag,1858-05,-0.5321,1858-05-01,5,Summer,0.2030971523624698
gcag,1858-06,-0.3795,1858-06-01,6,Monsoon,0.26353518951245597
gcag,1858-07,-0.3356,1858-07-01,7,Monsoon,0.28092201671353323
gcag,1858-08,-0.2775,1858-08-01,8,Monsoon,0.30393282902293156
gcag,1858-09,-0.2832,1858-09-01,9,Post-Monsoon,0.3016753138738168
